,LEVEL,POSITION,EXPERIENCE,GENDER,COMPANY,WORK_TYPE,CITY,CURRENCY,SALARY_AVG_TL
697,Senior,SOFTWARE ARCHITECT,7 - 10 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,26499
698,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,27499
699,Senior,FRONT-END DEVELOPER,5 - 7 Yıl,Erkek,Startup,Remote,yurt_disi,$ - Dolar,195605
700,Junior,MOBILE APPLICATION DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,5499
701,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Geçici Remote,yurt_ici,₺ - Türk Lirası,7499
702,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,14499
703,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,7499
704,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,6499
705,Senior,SOFTWARE DEVELOPMENT MANAGER,10 - 14 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,33499
706,Senior,EMBEDDED SOFTWARE DEVELOPER,5 - 7 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,21499
707,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Remote,yurt_disi,€ - Euro,204425
708,Middle,FULL STACK DEVELOPER,5 - 7 Yıl,Kadın,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,23499
709,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Startup,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,12499
710,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,10499
711,Senior,TEAM / TECH LEAD,15 Yıl ve üzeri,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,25499
712,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,Fintech / Finans,Remote,yurt_ici,€ - Euro,87605
713,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Hibrit,yurt_ici,$ - Dolar,65195
714,Senior,DEVOPS ENGINEER,5 - 7 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,35499
715,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,27499
716,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,16499
717,Middle,MOBILE APPLICATION DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,8499
718,Senior,MOBILE APPLICATION DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Geçici Remote,yurt_ici,₺ - Türk Lirası,20499
719,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,11499
720,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,10499
721,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,7499
722,Middle,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,13499
723,Senior,MOBILE APPLICATION DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,28499
724,Middle,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Hibrit,yurt_disi,€ - Euro,68135
725,Middle,BACK-END DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,8499
726,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,14499
727,Middle,EMBEDDED SOFTWARE DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,19499
728,Junior,MOBILE APPLICATION DEVELOPER,0 - 1 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,5499
729,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,E-Ticaret,Geçici Remote,yurt_ici,₺ - Türk Lirası,18499
730,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,21499
731,Middle,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Startup,Remote,yurt_disi,$ - Dolar,46565
732,Senior,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Startup,Remote,yurt_disi,$ - Dolar,65195
733,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,8499
734,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Remote,yurt_disi,$ - Dolar,65195
735,Senior,BACK-END DEVELOPER,7 - 10 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,18499
736,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,7499
737,Senior,SOFTWARE DEVELOPMENT MANAGER,7 - 10 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,55000
738,Junior,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Startup,Hibrit,yurt_disi,$ - Dolar,46565
739,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,6499
740,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,12499
741,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Ofis,yurt_ici,₺ - Türk Lirası,11499
742,Senior,TEAM / TECH LEAD,5 - 7 Yıl,Erkek,E-Ticaret,Hibrit,yurt_ici,$ - Dolar,65195
743,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,11499
744,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_disi,₺ - Türk Lirası,27499
745,Senior,FRONT-END DEVELOPER,10 - 14 Yıl,Erkek,Kurumsal,Remote,yurt_ici,$ - Dolar,46565
746,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,20499
747,Middle,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,19499
748,Senior,FRONT-END DEVELOPER,10 - 14 Yıl,Erkek,E-Ticaret,Geçici Remote,yurt_ici,₺ - Türk Lirası,23499
749,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Outsource,Geçici Remote,yurt_ici,₺ - Türk Lirası,6499
750,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,19499
751,Middle,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,35499
752,Senior,FRONT-END DEVELOPER,10 - 14 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,26499
753,Junior,GAME DEVELOPER,1 - 3 Yıl,Erkek,Oyun,Ofis,yurt_ici,₺ - Türk Lirası,11499
754,Junior,FRONT-END DEVELOPER,1 - 3 Yıl,Kadın,Startup,Remote,yurt_ici,₺ - Türk Lirası,8499
755,Senior,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Hibrit,yurt_disi,€ - Euro,146015
756,Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Erkek,Dijital / Reklam Ajansı,Remote,yurt_ici,₺ - Türk Lirası,7499
757,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Startup,Remote,yurt_disi,€ - Euro,87605
758,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Kadın,Outsource,Remote,yurt_ici,₺ - Türk Lirası,10499
759,Senior,BACK-END DEVELOPER,15 Yıl ve üzeri,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,12499
760,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,6499
761,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,$ - Dolar,65195
762,Junior,FRONT-END DEVELOPER,1 - 3 Yıl,Kadın,Outsource,Ofis,yurt_ici,₺ - Türk Lirası,12499
763,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,18499
764,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Geçici Remote,yurt_ici,₺ - Türk Lirası,22499
765,Middle,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,E-Ticaret,Hibrit,yurt_ici,₺ - Türk Lirası,5499
766,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,17499
767,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,8499
768,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,23499
769,Senior,OTHERS,7 - 10 Yıl,Erkek,DIGER,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,15499
770,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Kadın,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,5499
771,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,E-Ticaret,Hibrit,yurt_ici,₺ - Türk Lirası,15499
772,Junior,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,10499
773,Senior,FULL STACK DEVELOPER,15 Yıl ve üzeri,Erkek,DIGER,Remote,yurt_ici,₺ - Türk Lirası,20499
774,Senior,SOFTWARE ARCHITECT,15 Yıl ve üzeri,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,43499
775,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,13499
776,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,24499
777,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Kadın,Startup,Remote,yurt_ici,₺ - Türk Lirası,7499
778,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,12499
779,Senior,BACK-END DEVELOPER,15 Yıl ve üzeri,Erkek,Startup,Remote,yurt_disi,€ - Euro,107075
780,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,17499
781,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,25499
782,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,10499
783,Junior,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,15499
784,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,7499
785,Middle,QA / TEST AUTOMATION DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Geçici Remote,yurt_ici,₺ - Türk Lirası,15499
786,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,10499
787,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,9499
788,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Geçici Remote,yurt_ici,₺ - Türk Lirası,8499
789,Senior,TEAM / TECH LEAD,7 - 10 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,18499
790,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Kadın,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,14499
791,Senior,SOFTWARE ARCHITECT,15 Yıl ve üzeri,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,25499
792,Middle,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,15499
793,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,8499
794,Senior,BACK-END DEVELOPER,15 Yıl ve üzeri,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,23499
795,Junior,MOBILE APPLICATION DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,11499
796,Middle,DATA SCIENTIST,1 - 3 Yıl,Kadın,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,9499
797,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Kadın,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,11499
798,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,11499
799,Senior,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,17499
800,Senior,FULL STACK DEVELOPER,15 Yıl ve üzeri,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,10499
801,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,DIGER,Remote,yurt_ici,₺ - Türk Lirası,15499
802,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,6499
803,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Kadın,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,15499
804,Junior,FRONT-END DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,6499
805,Middle,MOBILE APPLICATION DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,18499
806,Middle,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,8499
807,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Erkek,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,8499
808,Middle,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,13499
809,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Kadın,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,12499
810,Senior,FULL STACK DEVELOPER,15 Yıl ve üzeri,Erkek,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,55000
811,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Kadın,DIGER,Ofis,yurt_ici,₺ - Türk Lirası,13499
812,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Kadın,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,16499
813,Middle,FRONT-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_disi,€ - Euro,48665
814,Junior,MOBILE APPLICATION DEVELOPER,0 - 1 Yıl,Erkek,E-Ticaret,Hibrit,yurt_ici,₺ - Türk Lirası,14499
815,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Outsource,Ofis,yurt_ici,₺ - Türk Lirası,18499
816,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,22499
817,Junior,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,13499
818,Senior,BACK-END DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,20499
819,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,7499
820,Senior,MOBILE APPLICATION DEVELOPER,15 Yıl ve üzeri,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,20499
821,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Kadın,Startup,Remote,yurt_ici,₺ - Türk Lirası,17499
822,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,19499
823,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Kadın,Dijital / Reklam Ajansı,Hibrit,yurt_ici,₺ - Türk Lirası,7499
824,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Geçici Remote,yurt_ici,₺ - Türk Lirası,6499
825,Senior,DEVOPS ENGINEER,10 - 14 Yıl,Erkek,DIGER,Ofis,yurt_ici,₺ - Türk Lirası,22499
826,Senior,BACK-END DEVELOPER,10 - 14 Yıl,Erkek,Startup,Remote,yurt_ici,$ - Dolar,46565
827,Junior,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,11499
828,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Kadın,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,14499
829,Senior,MOBILE APPLICATION DEVELOPER,3 - 5 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,21499
830,Senior,BACK-END DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,18499
831,Middle,MOBILE APPLICATION DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,12499
832,Senior,TEAM / TECH LEAD,5 - 7 Yıl,Erkek,E-Ticaret,Hibrit,yurt_ici,₺ - Türk Lirası,28499
833,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Kadın,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,12499
834,Middle,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,25499
835,Senior,OTHERS,10 - 14 Yıl,Erkek,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,25499
836,Senior,TEAM / TECH LEAD,15 Yıl ve üzeri,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,25499
837,Middle,BACK-END DEVELOPER,3 - 5 Yıl,Erkek,Startup,Remote,yurt_ici,$ - Dolar,46565
838,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Startup,Hibrit,yurt_disi,€ - Euro,204425
839,Middle,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,11499
840,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,12499
841,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Outsource,Ofis,yurt_ici,₺ - Türk Lirası,16499
842,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,18499
843,Middle,BACK-END DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,23499
844,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Kadın,Startup,Remote,yurt_disi,€ - Euro,87605
845,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Startup,Geçici Remote,yurt_ici,₺ - Türk Lirası,7499
846,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,20499
847,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Kadın,Startup,Ofis,yurt_ici,₺ - Türk Lirası,7499
848,Middle,MOBILE APPLICATION DEVELOPER,5 - 7 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,15499
849,Senior,FRONT-END DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,13499
850,Middle,FULL STACK DEVELOPER,3 - 5 Yıl,Erkek,Startup,Ofis,yurt_ici,₺ - Türk Lirası,22499
851,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,23499
852,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,9499
853,Middle,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,Startup,Geçici Remote,yurt_ici,₺ - Türk Lirası,16499
854,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,10499
855,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,30499
856,Senior,TEAM / TECH LEAD,7 - 10 Yıl,Erkek,Outsource,Hibrit,yurt_ici,₺ - Türk Lirası,30499
857,Junior,DEVOPS ENGINEER,0 - 1 Yıl,Erkek,Kurumsal,Geçici Remote,yurt_ici,₺ - Türk Lirası,9499
858,Senior,SOFTWARE ARCHITECT,15 Yıl ve üzeri,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,32499
859,Senior,BACK-END DEVELOPER,10 - 14 Yıl,Kadın,Kurumsal,Remote,yurt_ici,$ - Dolar,195605
860,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,27499
861,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Kadın,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,5499
862,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,DIGER,Ofis,yurt_ici,₺ - Türk Lirası,17499
863,Junior,QA / TEST AUTOMATION DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,16499
864,Middle,DEVOPS ENGINEER,3 - 5 Yıl,Erkek,DIGER,Hibrit,yurt_ici,₺ - Türk Lirası,14499
865,Junior,QA / TEST AUTOMATION DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,13499
866,Senior,SOFTWARE ARCHITECT,10 - 14 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,18499
867,Senior,FULL STACK DEVELOPER,15 Yıl ve üzeri,Erkek,Dijital / Reklam Ajansı,Ofis,yurt_ici,₺ - Türk Lirası,15499
868,Junior,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,8499
869,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,23499
871,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,22499
872,Senior,BACK-END DEVELOPER,5 - 7 Yıl,Erkek,Startup,Remote,yurt_disi,$ - Dolar,46565
873,Senior,QA / TEST AUTOMATION DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Hibrit,yurt_disi,€ - Euro,87605
874,Senior,FULL STACK DEVELOPER,7 - 10 Yıl,Erkek,Kurumsal,Remote,yurt_ici,₺ - Türk Lirası,19499
875,Middle,BACK-END DEVELOPER,7 - 10 Yıl,Kadın,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,10499
876,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,10499
877,Junior,EMBEDDED SOFTWARE DEVELOPER,1 - 3 Yıl,Erkek,Kurumsal,Ofis,yurt_disi,$ - Dolar,195605
878,Senior,FULL STACK DEVELOPER,15 Yıl ve üzeri,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,9499
879,Middle,FRONT-END DEVELOPER,3 - 5 Yıl,Erkek,Startup,Geçici Remote,yurt_ici,₺ - Türk Lirası,18499
880,Junior,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Dijital / Reklam Ajansı,Ofis,yurt_ici,₺ - Türk Lirası,6499
881,Junior,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,E-Ticaret,Ofis,yurt_ici,₺ - Türk Lirası,6499
882,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,Outsource,Geçici Remote,yurt_ici,₺ - Türk Lirası,32499
883,Senior,MOBILE APPLICATION DEVELOPER,5 - 7 Yıl,Kadın,E-Ticaret,Remote,yurt_ici,₺ - Türk Lirası,26499
884,Senior,FULL STACK DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,20499
885,Middle,BACK-END DEVELOPER,1 - 3 Yıl,Erkek,Startup,Ofis,yurt_ici,$ - Dolar,46565
886,Senior,TEAM / TECH LEAD,10 - 14 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,15499
887,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Kurumsal,Geçici Hibrit,yurt_ici,₺ - Türk Lirası,5499
888,Junior,BACK-END DEVELOPER,0 - 1 Yıl,Erkek,Startup,Remote,yurt_ici,₺ - Türk Lirası,11499
889,Junior,FRONT-END DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,12499
890,Senior,EMBEDDED SOFTWARE DEVELOPER,5 - 7 Yıl,Erkek,Kurumsal,Ofis,yurt_ici,₺ - Türk Lirası,18499
891,Junior,DATA SCIENTIST,0 - 1 Yıl,Erkek,Kurumsal,Hibrit,yurt_ici,₺ - Türk Lirası,9499
892,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,E-Ticaret,Remote,yurt_disi,₺ - Türk Lirası,32499
893,Junior,FULL STACK DEVELOPER,0 - 1 Yıl,Kadın,Startup,Remote,yurt_ici,₺ - Türk Lirası,7499
894,Senior,FRONT-END DEVELOPER,5 - 7 Yıl,Erkek,Outsource,Remote,yurt_ici,€ - Euro,184955
895,Middle,FULL STACK DEVELOPER,1 - 3 Yıl,Erkek,Outsource,Remote,yurt_ici,₺ - Türk Lirası,16499
896,Senior,FULL STACK DEVELOPER,10 - 14 Yıl,Erkek,Startup,Hibrit,yurt_ici,₺ - Türk Lirası,16499
